id,name,email,source,interest,last_action_date,status
52,Lead 52,lead52@example.com,Email Campaign,One-off audit,2026-03-06,lost
53,Lead 53,lead53@example.com,Meta Ads,Paid social only,2026-03-29,new
54,Lead 54,lead54@example.com,Referral,Full-funnel services,2026-03-07,new
55,Lead 55,lead55@example.com,SEO,Google Ads management,2026-03-25,won
56,Lead 56,lead56@example.com,Google Ads,SEO retainer,2026-03-05,lost
57,Lead 57,lead57@example.com,Meta Ads,Paid social only,2026-03-24,won
58,Lead 58,lead58@example.com,Email Campaign,SEO retainer,2026-03-10,proposal_sent
59,Lead 59,lead59@example.com,Google Ads,One-off audit,2026-03-10,won
60,Lead 60,lead60@example.com,Meta Ads,Google Ads management,2026-03-05,won
61,Lead 61,lead61@example.com,SEO,Paid social only,2026-03-01,new
62,Lead 62,lead62@example.com,Referral,Paid social only,2026-03-25,proposal_sent
63,Lead 63,lead63@example.com,Email Campaign,One-off audit,2026-03-12,lost
64,Lead 64,lead64@example.com,Meta Ads,Google Ads management,2026-03-24,won
65,Lead 65,lead65@example.com,Referral,Paid social only,2026-03-27,lost
66,Lead 66,lead66@example.com,Referral,Full-funnel services,2026-03-14,contacted
67,Lead 67,lead67@example.com,Meta Ads,One-off audit,2026-03-20,contacted
68,Lead 68,lead68@example.com,Email Campaign,Google Ads management,2026-03-23,proposal_sent
69,Lead 69,lead69@example.com,Email Campaign,One-off audit,2026-03-27,lost
70,Lead 70,lead70@example.com,Meta Ads,Google Ads management,2026-03-19,won
71,Lead 71,lead71@example.com,Google Ads,Paid social only,2026-03-21,contacted
72,Lead 72,lead72@example.com,SEO,SEO retainer,2026-03-30,contacted
73,Lead 73,lead73@example.com,Meta Ads,Full-funnel services,2026-03-29,new
74,Lead 74,lead74@example.com,SEO,Full-funnel services,2026-03-23,won
75,Lead 75,lead75@example.com,Referral,One-off audit,2026-03-20,contacted
76,Lead 76,lead76@example.com,Google Ads,Paid social only,2026-03-23,contacted
77,Lead 77,lead77@example.com,Email Campaign,Google Ads management,2026-03-23,lost
78,Lead 78,lead78@example.com,Email Campaign,Full-funnel services,2026-03-01,contacted
79,Lead 79,lead79@example.com,SEO,Full-funnel services,2026-03-30,contacted
80,Lead 80,lead80@example.com,Google Ads,Google Ads management,2026-03-26,new
81,Lead 81,lead81@example.com,Referral,SEO retainer,2026-03-08,new
82,Lead 82,lead82@example.com,Referral,Google Ads management,2026-03-01,proposal_sent
83,Lead 83,lead83@example.com,Email Campaign,One-off audit,2026-03-09,contacted
84,Lead 84,lead84@example.com,Referral,Full-funnel services,2026-03-18,new
85,Lead 85,lead85@example.com,Meta Ads,Google Ads management,2026-03-25,lost
86,Lead 86,lead86@example.com,Meta Ads,One-off audit,2026-03-13,new
87,Lead 87,lead87@example.com,SEO,Paid social only,2026-03-02,lost
88,Lead 88,lead88@example.com,Referral,SEO retainer,2026-03-06,contacted
89,Lead 89,lead89@example.com,Google Ads,One-off audit,2026-03-09,proposal_sent
90,Lead 90,lead90@example.com,Email Campaign,SEO retainer,2026-03-01,new
91,Lead 91,lead91@example.com,Email Campaign,Google Ads management,2026-03-12,contacted
92,Lead 92,lead92@example.com,Email Campaign,SEO retainer,2026-03-28,lost
93,Lead 93,lead93@example.com,Meta Ads,Google Ads management,2026-03-17,new
94,Lead 94,lead94@example.com,SEO,Paid social only,2026-03-06,contacted
95,Lead 95,lead95@example.com,SEO,SEO retainer,2026-03-08,contacted
96,Lead 96,lead96@example.com,Google Ads,Google Ads management,2026-03-03,lost
97,Lead 97,lead97@example.com,Google Ads,Full-funnel services,2026-03-06,won
98,Lead 98,lead98@example.com,Email Campaign,One-off audit,2026-03-26,new
99,Lead 99,lead99@example.com,Referral,One-off audit,2026-03-02,lost
100,Lead 100,lead100@example.com,Referral,Paid social only,2026-03-15,proposal_sent
